[10:42:54] [info] PHOENIX: Let's Rock
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 1000
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
[10:43:09] [trace] PHOENIX: PACKET SIZE: 262
